,location_id,location,latitude,longitude
172,357581,QUEBEC,45.41864,-72.73067
173,1138,BRITISH COLUMBIA,54.3972,-126.645
174,278007,N/A,53.951834,-113.105857
175,1179,BRITISH COLUMBIA,49.031168,-118.439088
176,921007,N/A,49.132332999999996,-102.985056
177,268867,QUEBEC,46.357175,-72.546187
178,297,ALBERTA,53.1325,-117.09111
179,236029,QUEBEC,46.362425,-72.510042
180,8743,BRITISH COLUMBIA,49.261014,-124.806628
181,224177,N/A,60.71972000000001,-135.05875
182,236027,QUEBEC,47.73333,-68.7072
183,8567,BRITISH COLUMBIA,56.244722,-120.85611100000001
184,523,QUEBEC,45.5472,-73.7472
185,1572,MANITOBA,49.8422,-99.9189
